Data_Field,Example_Value,Purpose,Personal_Data,Sensitive_Data,Visibility,Keep_Remove_Replace,Responsible_Action,Owner
Account display name,Mia Demo,Identify the account in dashboards and conversations,Yes,No,Authenticated users / conversation participants,Replace,Use a display name; do not require a full legal name for the class prototype,Phyo Wai Aung
Account email,mia.student@example.com,"Authentication, account recovery, and account contact",Yes,No,User and authorized administration only,Keep,Never display publicly; use example addresses in repository evidence,Phyo Wai Aung
Account password,Managed by Supabase Auth,Authenticate the user,Yes,Yes,Authentication provider only,Keep outside project data,"Never log, export, screenshot, or commit passwords; store only through Supabase Auth",Kyaw Linn
Account role,student,"Separate student, owner, and admin permissions",Yes,No,User and authorized administration,Keep,Use role checks on the backend for protected actions,Kyaw Linn
Phone number,+66 XX XXX XXXX,Optional contact method,Yes,No,User and authorized recipients only,Keep optional,Do not require it; do not display to anonymous visitors; mask in screenshots,Phyo Wai Aung
LINE ID,mia_demo,Optional contact method,Yes,No,User and authorized recipients only,Keep optional,Do not require it; do not display to anonymous visitors; mask in screenshots,Phyo Wai Aung
Apartment name,Campus View Residence,Identify and compare an apartment listing,No,No,Public after admin approval,Keep,"Require accurate, non-misleading listing information",Phyo Wai Aung
Property type,apartment,Filter and describe listings,No,No,Public after admin approval,Keep,Limit to supported categories,Kyaw Linn
General location,Near Rangsit University,Help students search by area,No,No,Public after admin approval,Keep,"Use the property location, never the owner's private home location",Phyo Wai Aung
Street address,52/10 Example Road,Describe the approved property location,Possibly,No,Public only when necessary for an approved listing,Replace,Prefer a general area until the student opens an approved listing; remove private residential details,Phyo Wai Aung
Google Maps URL / place ID,Approved property map link,Open the property location in Google Maps,Possibly,No,Public after admin approval,Keep with caution,Confirm the link identifies the advertised property and not a person's home,Kyaw Linn
Latitude and longitude,"13.9640, 100.5860",Place an approved apartment on the map,Possibly,No,Public or approximate,Replace,Use property coordinates only; consider rounded coordinates for list/map previews,Kyaw Linn
Distance from campus,1.5 km,Allow distance comparison and filtering,No,No,Public after admin approval,Keep,State that distance is approximate,Phyo Wai Aung
Monthly price,6500 THB,Allow budget comparison and filtering,No,No,Public after admin approval,Keep,Require current price and warn that users must confirm fees with the landlord,Phyo Wai Aung
Room type / size / facilities,"Studio, 24 sqm, Wi-Fi",Describe and compare the room,No,No,Public after admin approval,Keep,Require accurate information and remove misleading claims,Phyo Wai Aung
Availability status,available,Prevent students contacting unavailable rooms,No,No,Public after admin approval,Keep,Owners update their own status; admin moderates invalid listings,Kyaw Linn
Approval status,pending,Support admin review before public display,No,No,Owner and admin; approved status may be public,Keep,Only admin can approve or reject; retain action evidence,Kyaw Linn
Landlord display name,Owner Demo,Identify the listing contact,Yes,No,"Authenticated student, owner, and admin",Replace,Use a business/display name rather than unnecessary legal identity,Phyo Wai Aung
Landlord contact,owner@example.com,Let an authenticated student contact the landlord,Yes,No,Authenticated students only; owner/admin internally,Keep with restriction,Hide from anonymous users and use a property/business contact method,Kyaw Linn
Listing description,Quiet studio near campus,Explain property details,Possibly,No,Public after admin approval,Keep with moderation,"Prohibit discriminatory, fraudulent, unsafe, or personally identifying text",Phyo Wai Aung
Listing photos,room-photo.webp,Help students evaluate an apartment,Possibly,No,Public after admin approval,Keep with caution,"Upload rooms/property only; avoid faces, IDs, documents, license plates, or private background details",Kyaw Linn
Saved listing relationship,student-demo -> listing-101,Maintain a student's shortlist,Yes,No,That student and authorized administration,Keep,Never expose one student's saved list to other users,Kyaw Linn
Roommate post title,Looking for a quiet roommate,Summarize a roommate request,Possibly,No,Public after admin approval,Keep with moderation,Avoid discriminatory or unsafe wording,Phyo Wai Aung
Roommate poster display name,Mia,Identify the post owner,Yes,No,Authenticated platform users,Replace,Use a nickname/display name; do not publish legal ID details,Phyo Wai Aung
Roommate budget and move-in date,4000-6000 THB; 2026-08-01,Match practical roommate preferences,Possibly,No,Authenticated platform users,Keep,Do not infer or display financial status beyond the stated housing budget,Phyo Wai Aung
Roommate location preference,Near Rangsit University,Match users by preferred area,Possibly,No,Authenticated platform users,Keep generalized,"Use an area preference, not a live or home location",Phyo Wai Aung
Lifestyle tags,"quiet, non-smoking",Support basic roommate compatibility,Possibly,Possibly,Authenticated platform users,Keep limited,"Use voluntary neutral tags; do not collect religion, ethnicity, health, sexuality, or other sensitive traits",Phyo Wai Aung
Roommate description,Prefer a clean shared room,Explain roommate expectations,Possibly,Possibly,Authenticated platform users,Keep with moderation,"Warn users not to include sensitive traits, phone numbers, IDs, or exact addresses",Phyo Wai Aung
Inquiry message content,Is this room available next month?,Allow student-landlord or roommate inquiries,Possibly,Possibly,Conversation participants only,Keep with caution,"Warn against passwords, OTPs, banking information, government IDs, and identity-document images; define retention and reporting",Phyo Wai Aung
Message participant IDs,student-demo / owner-demo,Authorize access to the correct conversation,Yes,No,Conversation participants and authorized administration,Keep,Use only for access control and do not expose unrelated conversations,Kyaw Linn
Notification text and read time,Listing approved; unread,Inform users about listing or roommate-post review,Yes,No,Notification recipient only,Keep,Do not include unnecessary private details in notification text,Kyaw Linn
Admin action log,Admin approved listing-101,Provide moderation traceability,Yes,No,Admin only,Keep,Limit access and retain only while needed for project evidence and misuse review,Arkar Kyaw Oo
Usability tester code,T01,Connect task results without using a legal name,Yes,No,Project team and summarized class report,Replace,Use an anonymous participant code instead of student name or ID,Phyo Wai Aung
Task completion result,Completed,Measure whether users can finish the tested workflow,No,No,Project team and aggregated report,Keep,Report aggregated results where possible,Phyo Wai Aung
Feedback rating,4 out of 5,Measure usability and usefulness,No,No,Project team and aggregated report,Keep,Do not combine with unnecessary identity data,Phyo Wai Aung
Open feedback comment,Filter label was unclear,Identify prototype improvements,Possibly,Possibly,Project team; anonymized quotation if reported,Keep with review,"Remove names, contact details, and sensitive personal information before GitHub upload",Phyo Wai Aung
